iso_code	a_10	b_5	c_5	d_na	e_5	a_20	b_10	c_10	d_na2	e_10	a_30	b_15	c_15	d_na3	e_15
SLV	1	-1	-1	0	0	1	-1	-1	0	0	1	-1	-1	0	0
ERI	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1
EST	-1	1	0	1	-1	-1	1	0	1	-1	-1	1	0	1	-1
FIN	-1	0	-1	1	-1	-1	0	-1	1	-1	-1	0	-1	1	-1
FRA	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1
GEO	1	-1	1	1	1	1	-1	1	1	1	1	-1	1	1	1
DEU	1	-1	-1	1	1	1	-1	-1	1	1	0	-1	-1	1	1
GHA	1	-1	-1	0	-1	1	-1	-1	0	-1	1	-1	-1	0	-1
GIB	-1	-1	-1	1	0	-1	-1	-1	1	0	-1	-1	-1	1	0
GRC	-1	-1	1	1	1	-1	-1	1	1	1	-1	-1	1	1	1
HND	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1
HUN	0	0	-1	1	-1	0	0	-1	1	-1	0	0	-1	1	-1
IND	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1
IDN	1	1	1	0	-1	1	1	1	0	-1	1	1	1	0	-1
IRN	-1	-1	1	1	1	-1	-1	1	1	1	-1	-1	1	1	1
IRQ	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1
IRL	-1	1	0	1	-1	-1	1	0	1	-1	-1	1	0	1	-1
ISR	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1
ITA	-1	0	-1	1	-1	-1	0	-1	1	-1	0	0	-1	1	-1
JAM	1	-1	-1	1	0	1	-1	-1	1	0	1	-1	-1	1	0
JPN	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	0	0	1	-1
JOR	0	0	-1	1	-1	0	0	-1	1	-1	0	0	-1	1	-1
KAZ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OWID_KOS	1	-1	-1	1	-1	1	-1	-1	1	0	1	-1	-1	1	0
KWT	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1
KGZ	0	1	-1	0	-1	0	1	-1	0	-1	0	1	-1	0	-1
LVA	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1
LBN	-1	1	1	1	-1	-1	1	1	1	-1	-1	1	1	1	-1
LBR	1	-1	1	0	1	1	-1	1	0	1	1	-1	1	0	1
LTU	-1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1
LUX	-1	1	0	1	-1	-1	1	0	1	-1	-1	1	0	1	-1
MDG	-1	0	1	0	1	-1	0	1	0	1	-1	0	1	0	1
MYS	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	0	-1	1	-1
MDV	1	-1	-1	1	1	1	-1	-1	1	1	1	-1	0	1	1
MRT	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1
MUS	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1
MEX	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1
MNE	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	1
MAR	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1
MMR	1	-1	-1	1	0	1	-1	-1	1	0	1	-1	-1	1	0
NLD	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	0	-1	1	-1
NZL	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1
NGA	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0
NOR	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1
OMN	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1
PAK	1	-1	0	0	1	1	-1	0	0	1	1	-1	0	0	1
PAN	1	-1	1	0	1	1	-1	1	0	1	1	0	1	0	1
PRY	1	-1	-1	0	0	1	-1	-1	0	0	1	-1	-1	0	0
PHL	1	-1	-1	0	0	1	-1	-1	0	0	1	-1	-1	0	0
POL	1	0	-1	1	-1	1	0	-1	1	-1	1	0	0	1	0
